product_id,title,category,rating,price,review_count
B0000035,Sample Product 35,Office Products,3.3,325.61,632
B0000036,Sample Product 36,Home & Garden,2.9,86.5,410
B0000037,Sample Product 37,Office Products,3.2,244.99,224
B0000038,Sample Product 38,Clothing,3.1,88.3,671
B0000039,Sample Product 39,Automotive,3.4,352.99,112
B0000040,Sample Product 40,Electronics,3.5,349.67,386
B0000041,Sample Product 41,Electronics,3.5,78.3,951
B0000042,Sample Product 42,Electronics,3.8,175.81,384
B0000043,Sample Product 43,Clothing,3.9,341.95,52
B0000044,Sample Product 44,Pet Supplies,5.0,122.63,766
B0000045,Sample Product 45,Beauty & Health,4.8,187.05,883
B0000046,Sample Product 46,Books,4.9,49.69,608
B0000047,Sample Product 47,Office Products,5.0,163.79,325
B0000048,Sample Product 48,Clothing,5.0,13.21,962
B0000049,Sample Product 49,Clothing,4.9,177.59,710
B0000050,Sample Product 50,Home & Garden,4.0,261.29,871
B0000051,Sample Product 51,Electronics,4.7,339.47,952
B0000052,Sample Product 52,Office Products,4.3,349.41,262
B0000053,Sample Product 53,Pet Supplies,2.8,491.17,571
B0000054,Sample Product 54,Electronics,3.9,449.12,36
B0000055,Sample Product 55,Toys & Games,3.9,172.82,98
B0000056,Sample Product 56,Clothing,4.5,444.11,119
B0000057,Sample Product 57,Electronics,4.4,322.81,586
B0000058,Sample Product 58,Electronics,4.4,7.51,895
B0000059,Sample Product 59,Books,4.1,245.38,162
B0000060,Sample Product 60,Office Products,2.9,186.4,391
B0000061,Sample Product 61,Toys & Games,4.1,361.87,639
B0000062,Sample Product 62,Electronics,4.7,319.98,21
B0000063,Sample Product 63,Beauty & Health,5.0,489.55,562
B0000064,Sample Product 64,Beauty & Health,4.0,178.29,608
B0000065,Sample Product 65,Electronics,4.9,101.65,828
B0000066,Sample Product 66,Clothing,5.0,26.58,171
B0000067,Sample Product 67,Sports & Outdoors,4.5,442.33,891
B0000068,Sample Product 68,Office Products,4.0,278.62,606
B0000069,Sample Product 69,Clothing,4.3,490.26,115
B0000070,Sample Product 70,Sports & Outdoors,3.6,245.21,17
B0000071,Sample Product 71,Office Products,3.4,200.37,565
B0000072,Sample Product 72,Pet Supplies,4.7,182.53,638
B0000073,Sample Product 73,Pet Supplies,3.1,439.3,784
B0000074,Sample Product 74,Automotive,5.0,182.95,476
B0000075,Sample Product 75,Pet Supplies,5.0,405.63,866
B0000076,Sample Product 76,Books,4.8,400.16,320
B0000077,Sample Product 77,Automotive,5.0,352.47,399
B0000078,Sample Product 78,Clothing,2.8,51.52,726
B0000079,Sample Product 79,Beauty & Health,2.7,167.44,697
B0000080,Sample Product 80,Beauty & Health,3.7,23.49,837
B0000081,Sample Product 81,Beauty & Health,4.2,270.86,612
B0000082,Sample Product 82,Electronics,3.8,482.8,102
B0000083,Sample Product 83,Home & Garden,4.8,421.8,991
B0000084,Sample Product 84,Home & Garden,5.0,73.48,655
B0000085,Sample Product 85,Books,4.1,260.57,669
B0000086,Sample Product 86,Clothing,3.3,222.29,950
B0000087,Sample Product 87,Pet Supplies,4.9,17.55,116
B0000088,Sample Product 88,Toys & Games,5.0,33.81,633
B0000089,Sample Product 89,Electronics,3.7,223.96,95
B0000090,Sample Product 90,Beauty & Health,5.0,143.57,271
B0000091,Sample Product 91,Toys & Games,5.0,330.27,580
B0000092,Sample Product 92,Beauty & Health,3.0,64.48,284
B0000093,Sample Product 93,Sports & Outdoors,4.3,51.61,93
B0000094,Sample Product 94,Home & Garden,4.7,176.42,253
B0000095,Sample Product 95,Sports & Outdoors,4.6,202.26,521
B0000096,Sample Product 96,Beauty & Health,3.7,190.43,761
B0000097,Sample Product 97,Clothing,4.1,254.05,768
B0000098,Sample Product 98,Automotive,3.2,39.93,758
B0000099,Sample Product 99,Books,4.8,18.12,895
B0000100,Sample Product 100,Home & Garden,2.4,323.43,928
B0000101,Sample Product 101,Clothing,5.0,411.22,267
B0000102,Sample Product 102,Clothing,4.5,107.31,284
B0000103,Sample Product 103,Books,5.0,24.29,753
B0000104,Sample Product 104,Clothing,5.0,195.77,969
B0000105,Sample Product 105,Pet Supplies,2.9,173.61,114
B0000106,Sample Product 106,Office Products,5.0,177.43,74
B0000107,Sample Product 107,Automotive,4.1,368.86,276
B0000108,Sample Product 108,Office Products,2.1,286.42,738
B0000109,Sample Product 109,Electronics,5.0,367.17,547
B0000110,Sample Product 110,Books,4.8,434.22,735
B0000111,Sample Product 111,Sports & Outdoors,2.7,123.11,694
B0000112,Sample Product 112,Toys & Games,3.7,451.76,61
B0000113,Sample Product 113,Home & Garden,4.3,414.1,341
B0000114,Sample Product 114,Clothing,4.3,475.55,850
B0000115,Sample Product 115,Pet Supplies,4.0,317.76,884
B0000116,Sample Product 116,Sports & Outdoors,3.2,337.9,483
B0000117,Sample Product 117,Sports & Outdoors,3.0,396.83,568
B0000118,Sample Product 118,Toys & Games,4.1,33.49,222
B0000119,Sample Product 119,Pet Supplies,3.3,223.56,214
B0000120,Sample Product 120,Books,4.6,420.05,173
B0000121,Sample Product 121,Automotive,4.2,41.02,945
B0000122,Sample Product 122,Pet Supplies,4.1,120.45,647
B0000123,Sample Product 123,Electronics,3.3,440.78,656
B0000124,Sample Product 124,Toys & Games,3.5,389.69,181
B0000125,Sample Product 125,Toys & Games,3.9,214.99,857
B0000126,Sample Product 126,Clothing,4.0,10.62,219
B0000127,Sample Product 127,Pet Supplies,3.2,371.78,455
B0000128,Sample Product 128,Office Products,4.9,122.57,504
B0000129,Sample Product 129,Electronics,5.0,46.03,928
B0000130,Sample Product 130,Beauty & Health,5.0,489.06,172
B0000131,Sample Product 131,Sports & Outdoors,3.8,26.48,212
B0000132,Sample Product 132,Sports & Outdoors,4.9,42.34,46
B0000133,Sample Product 133,Office Products,3.1,112.32,142
B0000134,Sample Product 134,Electronics,5.0,451.07,952
B0000135,Sample Product 135,Pet Supplies,5.0,475.45,967
B0000136,Sample Product 136,Beauty & Health,5.0,142.3,347
B0000137,Sample Product 137,Home & Garden,3.4,234.53,697
B0000138,Sample Product 138,Books,4.0,133.68,922
B0000139,Sample Product 139,Beauty & Health,2.9,21.0,200
B0000140,Sample Product 140,Electronics,5.0,139.12,908
B0000141,Sample Product 141,Clothing,2.5,412.16,593
B0000142,Sample Product 142,Clothing,4.7,212.03,823
B0000143,Sample Product 143,Books,5.0,278.04,4
B0000144,Sample Product 144,Toys & Games,5.0,242.78,238
B0000145,Sample Product 145,Electronics,3.8,191.49,281
B0000146,Sample Product 146,Office Products,4.0,210.34,384
B0000147,Sample Product 147,Sports & Outdoors,5.0,32.91,517
B0000148,Sample Product 148,Electronics,5.0,457.02,22
B0000149,Sample Product 149,Sports & Outdoors,4.3,364.43,713
B0000150,Sample Product 150,Pet Supplies,2.9,106.5,0
B0000151,Sample Product 151,Clothing,3.4,140.99,771
B0000152,Sample Product 152,Electronics,5.0,182.29,71
B0000153,Sample Product 153,Toys & Games,5.0,337.43,673
B0000154,Sample Product 154,Beauty & Health,4.2,426.83,53
B0000155,Sample Product 155,Sports & Outdoors,5.0,48.76,762
B0000156,Sample Product 156,Office Products,3.6,213.17,228
B0000157,Sample Product 157,Sports & Outdoors,5.0,321.48,74
B0000158,Sample Product 158,Clothing,4.2,490.33,305
B0000159,Sample Product 159,Books,5.0,320.14,334
B0000160,Sample Product 160,Clothing,3.7,259.42,983
B0000161,Sample Product 161,Toys & Games,4.7,264.18,80
B0000162,Sample Product 162,Sports & Outdoors,3.9,421.84,784
B0000163,Sample Product 163,Home & Garden,5.0,232.27,545
B0000164,Sample Product 164,Beauty & Health,2.2,318.53,751
B0000165,Sample Product 165,Clothing,3.9,270.95,662
B0000166,Sample Product 166,Toys & Games,2.5,350.35,899
B0000167,Sample Product 167,Automotive,5.0,349.77,280
B0000168,Sample Product 168,Clothing,4.0,486.69,60
B0000169,Sample Product 169,Pet Supplies,5.0,115.81,788
B0000170,Sample Product 170,Sports & Outdoors,2.9,20.74,837
B0000171,Sample Product 171,Electronics,3.2,269.54,523
B0000172,Sample Product 172,Pet Supplies,3.0,50.68,46
B0000173,Sample Product 173,Office Products,3.1,345.45,55
B0000174,Sample Product 174,Electronics,4.9,375.39,252
B0000175,Sample Product 175,Home & Garden,3.5,108.63,638
B0000176,Sample Product 176,Automotive,5.0,187.61,215
B0000177,Sample Product 177,Books,4.3,375.0,525
B0000178,Sample Product 178,Automotive,4.5,423.0,362
B0000179,Sample Product 179,Books,4.0,226.47,738
B0000180,Sample Product 180,Clothing,3.2,191.76,713
B0000181,Sample Product 181,Toys & Games,3.3,164.43,230
B0000182,Sample Product 182,Beauty & Health,3.4,445.81,211
B0000183,Sample Product 183,Office Products,3.8,341.16,66
B0000184,Sample Product 184,Office Products,3.3,270.87,33
B0000185,Sample Product 185,Automotive,4.1,295.34,747
B0000186,Sample Product 186,Clothing,2.5,450.33,319
B0000187,Sample Product 187,Books,3.8,125.95,314
B0000188,Sample Product 188,Beauty & Health,2.8,55.38,709
B0000189,Sample Product 189,Beauty & Health,4.6,126.75,515
B0000190,Sample Product 190,Automotive,1.8,491.28,222
B0000191,Sample Product 191,Beauty & Health,4.7,201.94,731
B0000192,Sample Product 192,Home & Garden,5.0,411.33,193
B0000193,Sample Product 193,Automotive,4.0,240.93,172
B0000194,Sample Product 194,Sports & Outdoors,3.6,215.59,224
B0000195,Sample Product 195,Home & Garden,3.2,124.99,558
B0000196,Sample Product 196,Electronics,3.0,292.71,138
B0000197,Sample Product 197,Home & Garden,4.8,163.72,258
B0000198,Sample Product 198,Electronics,3.6,276.56,649
B0000199,Sample Product 199,Books,3.2,164.57,641
B0000200,Sample Product 200,Home & Garden,4.9,381.31,970
B0000201,Sample Product 201,Automotive,3.1,305.02,418
B0000202,Sample Product 202,Electronics,4.6,207.22,884
B0000203,Sample Product 203,Automotive,4.7,495.51,929
B0000204,Sample Product 204,Clothing,4.1,289.36,831
B0000205,Sample Product 205,Automotive,4.0,414.83,228
B0000206,Sample Product 206,Clothing,4.4,334.27,409
B0000207,Sample Product 207,Home & Garden,3.7,161.52,41
B0000208,Sample Product 208,Office Products,3.6,358.32,799
B0000209,Sample Product 209,Clothing,5.0,313.93,864
B0000210,Sample Product 210,Toys & Games,5.0,180.9,502
B0000211,Sample Product 211,Books,3.6,274.06,615
B0000212,Sample Product 212,Automotive,3.3,470.22,390
B0000213,Sample Product 213,Clothing,4.3,170.78,447
B0000214,Sample Product 214,Home & Garden,4.6,269.06,230
B0000215,Sample Product 215,Home & Garden,5.0,498.86,440
B0000216,Sample Product 216,Electronics,5.0,75.85,195
B0000217,Sample Product 217,Beauty & Health,4.7,358.46,516
B0000218,Sample Product 218,Pet Supplies,5.0,59.76,227
B0000219,Sample Product 219,Automotive,3.6,303.96,14
B0000220,Sample Product 220,Automotive,3.7,362.52,129
B0000221,Sample Product 221,Clothing,3.4,348.5,291
B0000222,Sample Product 222,Pet Supplies,3.4,94.89,841
B0000223,Sample Product 223,Automotive,3.0,293.78,711
B0000224,Sample Product 224,Toys & Games,4.7,80.91,140
B0000225,Sample Product 225,Automotive,4.0,255.41,984
B0000226,Sample Product 226,Electronics,4.3,349.84,887
B0000227,Sample Product 227,Sports & Outdoors,4.8,355.08,105
B0000228,Sample Product 228,Electronics,5.0,214.94,28
B0000229,Sample Product 229,Automotive,5.0,421.02,778
B0000230,Sample Product 230,Toys & Games,3.8,86.93,419
B0000231,Sample Product 231,Beauty & Health,3.7,419.56,0
B0000232,Sample Product 232,Beauty & Health,5.0,202.51,968
B0000233,Sample Product 233,Sports & Outdoors,4.6,170.92,435
B0000234,Sample Product 234,Office Products,4.9,460.33,385
B0000235,Sample Product 235,Toys & Games,2.0,176.74,417
B0000236,Sample Product 236,Electronics,3.8,456.81,181
B0000237,Sample Product 237,Automotive,4.2,290.93,179
B0000238,Sample Product 238,Beauty & Health,3.5,113.95,881
B0000239,Sample Product 239,Sports & Outdoors,4.9,260.01,848
B0000240,Sample Product 240,Home & Garden,5.0,431.01,62
B0000241,Sample Product 241,Automotive,2.6,253.59,768
B0000242,Sample Product 242,Toys & Games,5.0,177.95,669
B0000243,Sample Product 243,Electronics,3.9,23.09,285
B0000244,Sample Product 244,Automotive,2.6,358.46,193
B0000245,Sample Product 245,Beauty & Health,4.7,223.18,113
B0000246,Sample Product 246,Beauty & Health,3.8,170.51,54
B0000247,Sample Product 247,Toys & Games,4.3,377.86,777
B0000248,Sample Product 248,Pet Supplies,4.2,401.37,54
B0000249,Sample Product 249,Books,5.0,434.16,7
B0000250,Sample Product 250,Electronics,2.9,102.08,766
B0000251,Sample Product 251,Automotive,4.4,56.53,238
B0000252,Sample Product 252,Sports & Outdoors,4.6,122.9,417
B0000253,Sample Product 253,Clothing,2.9,125.37,77
B0000254,Sample Product 254,Automotive,2.6,48.03,329
B0000255,Sample Product 255,Toys & Games,3.3,369.27,84
B0000256,Sample Product 256,Clothing,5.0,455.76,708
B0000257,Sample Product 257,Home & Garden,5.0,171.25,385
B0000258,Sample Product 258,Clothing,2.4,313.95,933
B0000259,Sample Product 259,Office Products,4.6,220.88,939
B0000260,Sample Product 260,Clothing,5.0,400.93,720
B0000261,Sample Product 261,Books,4.5,16.12,525
B0000262,Sample Product 262,Office Products,5.0,132.65,757
B0000263,Sample Product 263,Beauty & Health,4.7,418.29,3
B0000264,Sample Product 264,Pet Supplies,2.9,139.79,74
B0000265,Sample Product 265,Beauty & Health,4.2,457.58,852
B0000266,Sample Product 266,Pet Supplies,2.6,279.32,152
B0000267,Sample Product 267,Beauty & Health,4.6,415.72,598
B0000268,Sample Product 268,Sports & Outdoors,5.0,334.19,454
B0000269,Sample Product 269,Pet Supplies,5.0,457.63,921
B0000270,Sample Product 270,Sports & Outdoors,4.4,28.25,821
B0000271,Sample Product 271,Electronics,2.3,45.99,291
B0000272,Sample Product 272,Clothing,3.4,147.9,511
B0000273,Sample Product 273,Home & Garden,2.8,360.93,806
B0000274,Sample Product 274,Automotive,3.2,333.52,757
B0000275,Sample Product 275,Beauty & Health,5.0,367.62,288
B0000276,Sample Product 276,Pet Supplies,3.6,250.7,364
B0000277,Sample Product 277,Books,4.6,313.55,449
B0000278,Sample Product 278,Sports & Outdoors,3.0,209.33,60
B0000279,Sample Product 279,Automotive,2.9,220.24,38
B0000280,Sample Product 280,Clothing,4.5,348.87,477
B0000281,Sample Product 281,Beauty & Health,4.6,297.16,274
B0000282,Sample Product 282,Sports & Outdoors,2.9,273.24,215
B0000283,Sample Product 283,Clothing,3.8,367.45,660
B0000284,Sample Product 284,Electronics,5.0,425.35,536
B0000285,Sample Product 285,Books,5.0,247.27,654
B0000286,Sample Product 286,Pet Supplies,4.2,26.86,15
B0000287,Sample Product 287,Toys & Games,3.8,499.68,793
B0000288,Sample Product 288,Sports & Outdoors,2.3,64.66,518
B0000289,Sample Product 289,Office Products,3.8,100.34,839
B0000290,Sample Product 290,Books,5.0,373.81,371
B0000291,Sample Product 291,Toys & Games,3.8,230.3,442
B0000292,Sample Product 292,Pet Supplies,5.0,185.53,619
B0000293,Sample Product 293,Books,5.0,443.07,170
B0000294,Sample Product 294,Automotive,2.2,288.35,887
B0000295,Sample Product 295,Electronics,3.2,271.51,981
B0000296,Sample Product 296,Office Products,4.2,216.27,107
B0000297,Sample Product 297,Books,5.0,17.08,169
B0000298,Sample Product 298,Books,4.9,400.4,38
B0000299,Sample Product 299,Home & Garden,4.1,31.08,476
B0000300,Sample Product 300,Sports & Outdoors,5.0,139.49,376
B0000301,Sample Product 301,Pet Supplies,3.5,50.39,358
B0000302,Sample Product 302,Home & Garden,3.3,59.68,141
B0000303,Sample Product 303,Automotive,4.8,147.18,323
B0000304,Sample Product 304,Books,3.3,341.43,139
B0000305,Sample Product 305,Pet Supplies,3.0,400.0,996
B0000306,Sample Product 306,Beauty & Health,4.8,494.65,710
B0000307,Sample Product 307,Home & Garden,4.3,37.17,583
B0000308,Sample Product 308,Home & Garden,3.7,416.17,365
B0000309,Sample Product 309,Pet Supplies,4.6,28.24,824
B0000310,Sample Product 310,Pet Supplies,4.5,316.74,726
B0000311,Sample Product 311,Electronics,4.6,261.54,19
B0000312,Sample Product 312,Pet Supplies,2.6,260.05,849
B0000313,Sample Product 313,Electronics,4.3,81.18,159
B0000314,Sample Product 314,Clothing,3.3,270.8,328
B0000315,Sample Product 315,Home & Garden,3.5,292.14,609
B0000316,Sample Product 316,Office Products,2.8,240.96,194
B0000317,Sample Product 317,Office Products,3.5,426.84,169
B0000318,Sample Product 318,Office Products,4.6,368.93,225
B0000319,Sample Product 319,Automotive,3.9,130.06,37
B0000320,Sample Product 320,Automotive,3.9,268.64,36
B0000321,Sample Product 321,Sports & Outdoors,4.2,495.78,113
B0000322,Sample Product 322,Automotive,4.1,453.72,322
B0000323,Sample Product 323,Automotive,5.0,332.75,39
B0000324,Sample Product 324,Electronics,4.4,330.93,352
B0000325,Sample Product 325,Office Products,4.4,170.33,556
B0000326,Sample Product 326,Office Products,3.3,441.41,556
B0000327,Sample Product 327,Pet Supplies,4.6,235.41,30
B0000328,Sample Product 328,Toys & Games,4.3,5.55,257
B0000329,Sample Product 329,Toys & Games,4.0,100.6,524
B0000330,Sample Product 330,Electronics,3.4,191.46,447
B0000331,Sample Product 331,Automotive,4.2,410.25,325
B0000332,Sample Product 332,Clothing,4.2,481.68,830
B0000333,Sample Product 333,Sports & Outdoors,5.0,55.74,195
B0000334,Sample Product 334,Home & Garden,3.7,153.98,16
B0000335,Sample Product 335,Beauty & Health,4.3,355.74,885
B0000336,Sample Product 336,Electronics,3.7,325.55,947
B0000337,Sample Product 337,Toys & Games,5.0,37.48,32
B0000338,Sample Product 338,Beauty & Health,5.0,129.99,982
B0000339,Sample Product 339,Pet Supplies,3.7,83.67,737
B0000340,Sample Product 340,Home & Garden,2.8,85.99,886
B0000341,Sample Product 341,Home & Garden,2.1,420.77,686
B0000342,Sample Product 342,Home & Garden,2.9,475.68,747
B0000343,Sample Product 343,Automotive,4.9,219.01,20
B0000344,Sample Product 344,Sports & Outdoors,3.0,140.74,386
B0000345,Sample Product 345,Electronics,5.0,163.77,933
B0000346,Sample Product 346,Books,3.7,432.86,207
B0000347,Sample Product 347,Automotive,5.0,83.83,984
B0000348,Sample Product 348,Electronics,5.0,13.84,348
B0000349,Sample Product 349,Sports & Outdoors,1.9,456.36,377
B0000350,Sample Product 350,Clothing,3.8,5.61,454
B0000351,Sample Product 351,Electronics,3.1,305.62,851
B0000352,Sample Product 352,Home & Garden,2.8,84.61,725
B0000353,Sample Product 353,Beauty & Health,4.4,166.33,385
B0000354,Sample Product 354,Automotive,4.4,79.04,788
B0000355,Sample Product 355,Books,4.5,341.83,337
B0000356,Sample Product 356,Beauty & Health,5.0,430.76,101
B0000357,Sample Product 357,Office Products,3.1,24.61,213
B0000358,Sample Product 358,Clothing,3.7,493.4,671
B0000359,Sample Product 359,Beauty & Health,3.7,310.99,659
B0000360,Sample Product 360,Electronics,4.0,166.6,1
B0000361,Sample Product 361,Electronics,4.2,48.49,972
B0000362,Sample Product 362,Electronics,3.8,164.44,165
B0000363,Sample Product 363,Toys & Games,5.0,104.43,121
B0000364,Sample Product 364,Books,4.7,66.49,634
B0000365,Sample Product 365,Beauty & Health,4.2,299.41,72
B0000366,Sample Product 366,Toys & Games,2.7,467.92,839
B0000367,Sample Product 367,Books,5.0,314.53,83
B0000368,Sample Product 368,Toys & Games,4.7,300.75,21
B0000369,Sample Product 369,Pet Supplies,5.0,243.05,126
B0000370,Sample Product 370,Office Products,3.9,363.79,11
B0000371,Sample Product 371,Toys & Games,3.0,326.9,536
B0000372,Sample Product 372,Clothing,3.0,395.9,694
B0000373,Sample Product 373,Clothing,3.5,85.03,965
B0000374,Sample Product 374,Books,3.7,273.53,58
B0000375,Sample Product 375,Clothing,5.0,45.36,754
B0000376,Sample Product 376,Clothing,3.6,105.77,902
B0000377,Sample Product 377,Electronics,3.1,434.79,158
B0000378,Sample Product 378,Pet Supplies,3.7,176.24,363
B0000379,Sample Product 379,Home & Garden,5.0,254.9,561
B0000380,Sample Product 380,Electronics,5.0,19.55,865
B0000381,Sample Product 381,Home & Garden,4.5,437.34,417
B0000382,Sample Product 382,Home & Garden,2.6,298.21,245
B0000383,Sample Product 383,Clothing,3.4,313.37,551
B0000384,Sample Product 384,Sports & Outdoors,3.5,359.33,751
B0000385,Sample Product 385,Toys & Games,4.5,318.11,525
B0000386,Sample Product 386,Books,4.7,248.68,317
B0000387,Sample Product 387,Beauty & Health,3.8,436.02,622
B0000388,Sample Product 388,Automotive,5.0,52.15,144
B0000389,Sample Product 389,Office Products,4.9,484.86,65
B0000390,Sample Product 390,Clothing,2.7,387.87,951
B0000391,Sample Product 391,Home & Garden,5.0,485.06,302
B0000392,Sample Product 392,Pet Supplies,2.2,415.3,256
B0000393,Sample Product 393,Sports & Outdoors,4.3,128.11,682
B0000394,Sample Product 394,Electronics,3.6,192.78,106
B0000395,Sample Product 395,Sports & Outdoors,2.9,181.58,203
B0000396,Sample Product 396,Sports & Outdoors,4.7,225.95,366
B0000397,Sample Product 397,Beauty & Health,5.0,106.89,956
B0000398,Sample Product 398,Home & Garden,4.0,267.93,19
B0000399,Sample Product 399,Pet Supplies,4.1,24.48,118
B0000400,Sample Product 400,Clothing,4.7,161.5,690
B0000401,Sample Product 401,Pet Supplies,4.0,201.7,241
B0000402,Sample Product 402,Automotive,2.7,263.26,918
B0000403,Sample Product 403,Beauty & Health,4.6,74.13,383
B0000404,Sample Product 404,Home & Garden,3.3,338.35,340
B0000405,Sample Product 405,Electronics,4.7,366.76,668
B0000406,Sample Product 406,Beauty & Health,3.9,347.85,310
B0000407,Sample Product 407,Toys & Games,4.3,472.58,969
B0000408,Sample Product 408,Books,4.9,432.98,880
B0000409,Sample Product 409,Automotive,3.6,398.78,963
B0000410,Sample Product 410,Electronics,4.7,414.29,303
B0000411,Sample Product 411,Sports & Outdoors,4.2,290.71,957
B0000412,Sample Product 412,Books,4.5,436.02,584
B0000413,Sample Product 413,Sports & Outdoors,4.4,285.67,488
B0000414,Sample Product 414,Home & Garden,5.0,463.21,18
B0000415,Sample Product 415,Beauty & Health,4.7,451.18,396
B0000416,Sample Product 416,Office Products,4.8,190.96,821
B0000417,Sample Product 417,Toys & Games,3.7,7.85,654
B0000418,Sample Product 418,Electronics,3.2,349.26,827
B0000419,Sample Product 419,Office Products,2.6,300.26,735
B0000420,Sample Product 420,Electronics,4.0,295.6,967
B0000421,Sample Product 421,Pet Supplies,4.1,380.88,776
B0000422,Sample Product 422,Clothing,4.6,424.35,923
B0000423,Sample Product 423,Sports & Outdoors,4.2,407.81,664
B0000424,Sample Product 424,Sports & Outdoors,5.0,269.13,782
B0000425,Sample Product 425,Toys & Games,2.5,407.43,497
B0000426,Sample Product 426,Sports & Outdoors,4.8,125.52,714
B0000427,Sample Product 427,Clothing,4.3,34.83,788
B0000428,Sample Product 428,Beauty & Health,3.7,310.59,372
B0000429,Sample Product 429,Home & Garden,3.7,336.7,668
B0000430,Sample Product 430,Clothing,3.2,360.23,1
B0000431,Sample Product 431,Electronics,4.3,488.48,89
B0000432,Sample Product 432,Office Products,3.1,430.41,38
B0000433,Sample Product 433,Toys & Games,4.2,151.16,240
B0000434,Sample Product 434,Pet Supplies,3.4,408.8,171
B0000435,Sample Product 435,Automotive,4.0,265.62,558
B0000436,Sample Product 436,Toys & Games,4.3,298.8,25
B0000437,Sample Product 437,Office Products,5.0,325.07,983
B0000438,Sample Product 438,Pet Supplies,4.8,386.12,48
B0000439,Sample Product 439,Pet Supplies,3.9,131.54,579
B0000440,Sample Product 440,Books,4.9,337.36,856
B0000441,Sample Product 441,Books,4.8,384.49,969
B0000442,Sample Product 442,Electronics,3.3,121.44,107
B0000443,Sample Product 443,Books,4.3,239.08,660
B0000444,Sample Product 444,Electronics,3.8,118.97,454
B0000445,Sample Product 445,Pet Supplies,3.3,132.16,76
B0000446,Sample Product 446,Office Products,4.4,72.54,596
B0000447,Sample Product 447,Books,4.5,205.14,373
B0000448,Sample Product 448,Toys & Games,5.0,303.59,101
B0000449,Sample Product 449,Pet Supplies,3.6,453.23,620
B0000450,Sample Product 450,Home & Garden,3.6,117.19,424
B0000451,Sample Product 451,Toys & Games,3.2,39.36,560
B0000452,Sample Product 452,Books,4.2,321.88,775
B0000453,Sample Product 453,Beauty & Health,4.3,298.44,66
B0000454,Sample Product 454,Beauty & Health,3.9,99.21,129
B0000455,Sample Product 455,Toys & Games,2.7,192.35,613
B0000456,Sample Product 456,Electronics,4.2,170.12,661
B0000457,Sample Product 457,Pet Supplies,4.2,479.02,844
B0000458,Sample Product 458,Office Products,3.8,214.23,54
B0000459,Sample Product 459,Electronics,3.2,153.92,647
B0000460,Sample Product 460,Home & Garden,2.0,64.32,626
B0000461,Sample Product 461,Automotive,3.7,14.91,979
B0000462,Sample Product 462,Automotive,3.4,337.42,83
B0000463,Sample Product 463,Beauty & Health,4.8,132.24,455
B0000464,Sample Product 464,Toys & Games,4.4,255.89,499
B0000465,Sample Product 465,Books,5.0,36.24,803
B0000466,Sample Product 466,Electronics,3.7,193.55,769
B0000467,Sample Product 467,Office Products,3.0,279.13,842
B0000468,Sample Product 468,Clothing,2.9,302.29,310
B0000469,Sample Product 469,Beauty & Health,2.2,460.1,938
B0000470,Sample Product 470,Beauty & Health,2.3,253.07,560
B0000471,Sample Product 471,Pet Supplies,5.0,272.17,428
B0000472,Sample Product 472,Clothing,4.4,362.1,66
B0000473,Sample Product 473,Toys & Games,5.0,155.82,72
B0000474,Sample Product 474,Sports & Outdoors,4.7,289.71,252
B0000475,Sample Product 475,Beauty & Health,4.2,160.3,94
B0000476,Sample Product 476,Electronics,5.0,91.55,898
